id,name,dept,score,active,ts
0,user_0,D,88.52,True,2026-02-08T22:00:00
1,user_1,C,69.065,True,2026-02-09T16:00:00
2,user_2,C,48.201,False,2026-01-03T19:00:00
3,user_3,B,67.951,True,2026-01-21T07:00:00
4,user_4,B,83.576,True,2026-01-23T22:00:00
5,user_5,A,13.324,False,2026-01-29T18:00:00
6,user_6,A,67.48,True,2026-01-16T00:00:00
7,user_7,A,55.289,False,2026-01-18T13:00:00
8,user_8,A,63.365,False,2026-01-09T21:00:00
9,user_9,D,26.035,True,2026-02-05T04:00:00
10,user_10,C,91.48,True,2026-01-19T21:00:00
11,user_11,D,50.933,False,2026-01-31T08:00:00
12,user_12,C,57.392,False,2026-02-03T06:00:00
13,user_13,C,59.913,False,2026-01-08T09:00:00
14,user_14,D,20.599,True,2026-01-09T07:00:00
15,user_15,C,15.587,True,2026-02-03T17:00:00
16,user_16,C,62.859,False,2026-01-08T14:00:00
17,user_17,C,20.004,True,2026-01-14T05:00:00
18,user_18,C,14.834,False,2026-02-04T02:00:00
19,user_19,D,56.728,True,2026-02-02T20:00:00
20,user_20,B,96.609,False,2026-02-10T06:00:00
21,user_21,D,87.751,False,2026-01-16T19:00:00
22,user_22,C,50.468,False,2026-01-08T12:00:00
23,user_23,A,71.357,True,2026-01-28T16:00:00
24,user_24,B,22.453,True,2026-02-07T23:00:00
25,user_25,D,23.009,False,2026-01-17T11:00:00
26,user_26,C,56.92,False,2026-02-10T11:00:00
27,user_27,A,87.15,False,2026-02-04T10:00:00
28,user_28,D,94.741,True,2026-01-24T13:00:00
29,user_29,C,87.131,False,2026-01-17T19:00:00
30,user_30,D,21.991,True,2026-01-24T05:00:00
31,user_31,A,91.746,False,2026-02-08T04:00:00
32,user_32,A,20.828,False,2026-01-10T05:00:00
33,user_33,D,61.642,False,2026-01-16T08:00:00
34,user_34,A,78.681,True,2026-01-11T11:00:00
35,user_35,C,28.0,False,2026-01-22T09:00:00
36,user_36,A,70.966,False,2026-02-05T09:00:00
37,user_37,B,51.66,True,2026-01-10T18:00:00
38,user_38,B,65.42,False,2026-01-03T22:00:00
39,user_39,B,74.552,False,2026-01-15T04:00:00
40,user_40,B,40.364,False,2026-02-06T08:00:00
41,user_41,A,62.42,True,2026-02-08T11:00:00
42,user_42,A,63.063,True,2026-01-25T16:00:00
43,user_43,A,16.758,True,2026-01-04T01:00:00
44,user_44,A,34.617,True,2026-01-20T23:00:00
45,user_45,C,8.287,False,2026-01-16T15:00:00
46,user_46,C,75.696,False,2026-01-09T01:00:00
47,user_47,C,57.334,True,2026-01-10T10:00:00
48,user_48,B,38.038,False,2026-01-12T19:00:00
49,user_49,C,3.084,False,2026-02-02T21:00:00
50,user_50,D,55.389,False,2026-01-06T15:00:00
51,user_51,B,54.19,False,2026-01-26T17:00:00
52,user_52,B,45.868,True,2026-01-28T10:00:00
53,user_53,D,82.784,False,2026-01-07T10:00:00
54,user_54,D,1.354,True,2026-01-30T20:00:00
55,user_55,D,92.242,True,2026-02-08T16:00:00
56,user_56,B,97.371,False,2026-01-19T13:00:00
57,user_57,C,14.943,True,2026-02-05T12:00:00
58,user_58,D,87.066,True,2026-01-22T04:00:00
59,user_59,C,61.474,True,2026-01-28T04:00:00
60,user_60,D,91.038,False,2026-01-04T21:00:00
61,user_61,C,74.71,True,2026-01-07T21:00:00
62,user_62,C,66.457,True,2026-01-31T14:00:00
63,user_63,B,78.211,False,2026-02-04T18:00:00
64,user_64,D,28.155,True,2026-01-25T05:00:00
65,user_65,A,49.786,True,2026-01-22T04:00:00
66,user_66,C,48.93,False,2026-01-24T15:00:00
67,user_67,C,15.896,False,2026-02-04T18:00:00
68,user_68,D,22.922,False,2026-01-07T06:00:00
69,user_69,C,1.605,False,2026-01-14T09:00:00
70,user_70,B,88.347,False,2026-02-06T11:00:00
71,user_71,B,4.648,False,2026-01-10T23:00:00
72,user_72,B,9.343,True,2026-02-10T19:00:00
73,user_73,B,69.81,False,2026-01-17T09:00:00
74,user_74,C,86.509,False,2026-01-01T04:00:00
75,user_75,D,69.687,False,2026-01-12T10:00:00
76,user_76,A,71.271,True,2026-01-20T23:00:00
77,user_77,D,37.372,False,2026-01-16T20:00:00
78,user_78,C,78.374,True,2026-01-18T19:00:00
79,user_79,B,77.311,True,2026-01-28T11:00:00
80,user_80,C,35.976,True,2026-01-20T03:00:00
81,user_81,C,92.204,False,2026-01-25T11:00:00
82,user_82,B,45.714,True,2026-02-07T11:00:00
83,user_83,B,67.264,False,2026-01-31T15:00:00
84,user_84,C,40.115,False,2026-01-19T13:00:00
85,user_85,C,57.363,False,2026-01-21T08:00:00
86,user_86,C,8.61,False,2026-01-23T17:00:00
87,user_87,B,42.066,True,2026-02-06T20:00:00
88,user_88,D,76.285,True,2026-01-21T21:00:00
89,user_89,B,83.889,False,2026-01-27T04:00:00
90,user_90,B,34.09,False,2026-01-19T07:00:00
91,user_91,D,5.485,False,2026-01-13T11:00:00
92,user_92,B,16.877,True,2026-01-16T11:00:00
93,user_93,A,28.3,True,2026-01-17T12:00:00
94,user_94,C,49.484,False,2026-01-28T14:00:00
95,user_95,C,26.316,False,2026-01-05T15:00:00
96,user_96,A,37.038,False,2026-02-05T07:00:00
97,user_97,A,1.717,False,2026-01-14T23:00:00
98,user_98,B,41.415,False,2026-01-29T13:00:00
99,user_99,D,69.642,True,2026-01-28T09:00:00
100,user_100,B,44.89,False,2026-02-03T14:00:00
101,user_101,D,19.402,True,2026-01-23T10:00:00
102,user_102,B,93.033,False,2026-01-30T05:00:00
103,user_103,A,18.423,False,2026-01-27T16:00:00
104,user_104,D,86.833,False,2026-01-19T12:00:00
105,user_105,D,19.066,True,2026-01-13T23:00:00
106,user_106,A,15.09,False,2026-01-10T10:00:00
107,user_107,A,48.776,False,2026-02-06T08:00:00
108,user_108,C,66.031,True,2026-01-02T04:00:00
109,user_109,B,45.298,False,2026-01-15T01:00:00
110,user_110,C,50.815,False,2026-02-07T11:00:00
111,user_111,A,62.347,False,2026-02-07T06:00:00
112,user_112,D,48.333,True,2026-01-13T00:00:00
113,user_113,B,95.685,False,2026-01-12T04:00:00
114,user_114,D,15.132,False,2026-01-14T06:00:00
115,user_115,D,39.134,False,2026-02-03T02:00:00
116,user_116,C,12.773,True,2026-01-05T20:00:00
117,user_117,A,19.756,True,2026-01-09T15:00:00
118,user_118,D,62.004,True,2026-02-03T10:00:00
119,user_119,A,86.655,True,2026-01-22T09:00:00
120,user_120,C,35.477,False,2026-01-09T15:00:00
121,user_121,B,85.476,False,2026-01-18T03:00:00
122,user_122,D,38.014,True,2026-01-25T14:00:00
123,user_123,A,70.93,True,2026-02-04T06:00:00
124,user_124,D,11.092,False,2026-01-18T03:00:00
125,user_125,A,55.17,True,2026-01-30T17:00:00
126,user_126,C,3.864,True,2026-01-29T12:00:00
127,user_127,C,14.293,False,2026-01-31T01:00:00
128,user_128,D,30.431,True,2026-01-28T14:00:00
129,user_129,B,4.904,False,2026-01-26T12:00:00
130,user_130,D,87.241,True,2026-01-28T03:00:00
131,user_131,C,82.131,False,2026-01-20T15:00:00
132,user_132,D,93.182,False,2026-01-10T02:00:00
133,user_133,A,22.473,False,2026-01-23T15:00:00
134,user_134,D,44.614,True,2026-02-05T18:00:00
135,user_135,D,80.898,True,2026-02-08T01:00:00
136,user_136,A,27.619,False,2026-02-05T19:00:00
137,user_137,B,64.734,True,2026-01-17T20:00:00
138,user_138,C,34.526,False,2026-02-11T08:00:00
139,user_139,A,37.689,True,2026-01-24T14:00:00
140,user_140,C,67.537,False,2026-01-16T03:00:00
141,user_141,C,93.934,True,2026-01-20T11:00:00
142,user_142,D,80.997,True,2026-01-03T05:00:00
143,user_143,D,34.805,False,2026-01-20T22:00:00
144,user_144,B,6.922,False,2026-01-11T23:00:00
145,user_145,B,96.899,True,2026-01-31T21:00:00
146,user_146,B,34.022,True,2026-01-12T09:00:00
147,user_147,D,71.934,True,2026-01-07T16:00:00
148,user_148,A,5.737,True,2026-01-07T02:00:00
149,user_149,B,1.178,True,2026-01-22T00:00:00
150,user_150,A,64.159,True,2026-01-17T07:00:00
151,user_151,B,86.418,False,2026-01-21T09:00:00
152,user_152,D,43.261,True,2026-01-23T09:00:00
153,user_153,C,63.736,False,2026-01-28T09:00:00
154,user_154,B,70.293,True,2026-01-08T07:00:00
155,user_155,D,84.955,True,2026-01-03T19:00:00
156,user_156,C,9.092,False,2026-01-18T18:00:00
157,user_157,D,53.453,False,2026-01-06T11:00:00
158,user_158,A,44.229,True,2026-01-23T23:00:00
159,user_159,B,34.026,True,2026-02-04T15:00:00
160,user_160,D,37.069,False,2026-01-29T08:00:00
161,user_161,D,41.545,True,2026-01-15T23:00:00
162,user_162,B,17.203,True,2026-01-29T22:00:00
163,user_163,B,86.37,False,2026-01-26T16:00:00
164,user_164,B,28.879,True,2026-01-29T13:00:00
165,user_165,C,39.972,True,2026-01-10T13:00:00
166,user_166,A,58.481,False,2026-02-02T10:00:00
167,user_167,D,68.625,False,2026-01-10T22:00:00
168,user_168,A,49.053,False,2026-02-09T05:00:00
169,user_169,B,44.264,True,2026-02-10T22:00:00
170,user_170,B,36.664,False,2026-01-04T12:00:00
171,user_171,C,50.412,True,2026-01-06T06:00:00
172,user_172,C,23.33,True,2026-01-11T23:00:00
173,user_173,C,2.026,False,2026-02-02T00:00:00
174,user_174,D,91.516,False,2026-01-20T06:00:00
175,user_175,D,18.853,True,2026-01-01T13:00:00
176,user_176,A,40.052,False,2026-01-22T13:00:00
177,user_177,A,53.856,True,2026-01-21T14:00:00
178,user_178,A,33.588,True,2026-01-01T05:00:00
179,user_179,C,42.792,True,2026-01-01T00:00:00
180,user_180,D,39.223,False,2026-01-05T08:00:00
181,user_181,D,45.308,True,2026-01-30T14:00:00
182,user_182,C,76.861,True,2026-01-22T16:00:00
183,user_183,D,52.373,True,2026-01-18T06:00:00
184,user_184,D,86.956,True,2026-01-03T04:00:00
185,user_185,A,67.415,False,2026-01-21T13:00:00
186,user_186,A,51.603,False,2026-01-11T12:00:00
187,user_187,D,33.267,True,2026-01-30T00:00:00
188,user_188,A,7.734,True,2026-01-26T16:00:00
189,user_189,D,31.288,True,2026-01-29T16:00:00
190,user_190,D,62.182,True,2026-02-08T16:00:00
191,user_191,D,49.429,True,2026-01-07T03:00:00
192,user_192,B,13.154,False,2026-01-13T09:00:00
193,user_193,A,57.087,False,2026-01-10T06:00:00
194,user_194,C,29.234,False,2026-01-02T18:00:00
195,user_195,D,26.859,True,2026-01-15T15:00:00
196,user_196,B,30.883,False,2026-02-04T08:00:00
197,user_197,D,68.701,False,2026-01-19T00:00:00
198,user_198,B,66.4,True,2026-01-29T09:00:00
199,user_199,D,8.448,True,2026-01-03T14:00:00
200,user_200,A,20.79,True,2026-02-09T00:00:00
201,user_201,B,59.878,True,2026-01-12T07:00:00
202,user_202,B,8.703,True,2026-01-03T18:00:00
203,user_203,A,76.243,False,2026-02-11T11:00:00
204,user_204,D,74.265,True,2026-02-08T17:00:00
205,user_205,D,17.919,True,2026-01-24T00:00:00
206,user_206,A,98.635,False,2026-02-01T15:00:00
207,user_207,D,80.914,False,2026-01-30T02:00:00
208,user_208,D,11.669,True,2026-02-02T05:00:00
209,user_209,B,89.104,False,2026-02-06T04:00:00
210,user_210,B,28.963,True,2026-01-11T18:00:00
211,user_211,C,47.372,True,2026-01-01T19:00:00
212,user_212,C,13.916,False,2026-01-18T17:00:00
213,user_213,B,44.699,True,2026-01-22T05:00:00
214,user_214,A,81.977,False,2026-01-17T00:00:00
215,user_215,D,56.557,False,2026-01-09T03:00:00
216,user_216,C,7.416,True,2026-01-17T03:00:00
217,user_217,A,31.993,False,2026-01-13T01:00:00
218,user_218,D,54.36,True,2026-02-02T13:00:00
219,user_219,C,44.645,True,2026-02-03T07:00:00
220,user_220,A,48.302,True,2026-01-31T18:00:00
221,user_221,C,99.346,False,2026-01-01T09:00:00
222,user_222,C,49.433,True,2026-02-01T21:00:00
223,user_223,A,98.132,True,2026-01-26T17:00:00
224,user_224,D,5.846,True,2026-02-09T23:00:00
225,user_225,C,88.672,False,2026-01-26T05:00:00
226,user_226,B,41.641,False,2026-01-18T09:00:00
227,user_227,A,85.899,False,2026-01-05T07:00:00
228,user_228,A,91.985,True,2026-01-22T19:00:00
229,user_229,D,54.055,True,2026-01-23T22:00:00
230,user_230,A,10.274,False,2026-01-04T15:00:00
231,user_231,C,36.65,True,2026-01-14T13:00:00
232,user_232,D,7.13,False,2026-02-02T22:00:00
233,user_233,D,81.798,True,2026-01-04T14:00:00
234,user_234,B,97.926,True,2026-02-08T12:00:00
235,user_235,A,67.959,False,2026-01-07T19:00:00
236,user_236,B,38.146,False,2026-01-07T23:00:00
237,user_237,D,74.309,False,2026-01-24T08:00:00
238,user_238,C,99.691,True,2026-01-13T06:00:00
239,user_239,A,47.165,True,2026-01-09T09:00:00
240,user_240,C,9.603,False,2026-01-03T14:00:00
241,user_241,B,59.199,False,2026-01-11T20:00:00
242,user_242,A,85.613,False,2026-01-05T12:00:00
243,user_243,B,69.194,True,2026-01-19T14:00:00
244,user_244,D,79.344,False,2026-01-18T11:00:00
245,user_245,D,47.079,False,2026-01-28T02:00:00
246,user_246,A,77.467,True,2026-01-14T08:00:00
247,user_247,C,62.051,False,2026-01-01T08:00:00
248,user_248,D,17.546,False,2026-01-11T02:00:00
249,user_249,B,83.199,True,2026-01-26T13:00:00
250,user_250,B,34.53,True,2026-01-01T18:00:00
251,user_251,A,67.465,True,2026-01-28T17:00:00
252,user_252,A,42.902,False,2026-02-04T05:00:00
253,user_253,D,92.04,True,2026-01-26T18:00:00
254,user_254,A,37.521,False,2026-01-07T21:00:00
255,user_255,A,14.637,False,2026-02-06T03:00:00
256,user_256,A,38.2,True,2026-01-25T06:00:00
257,user_257,A,18.158,False,2026-01-23T20:00:00
258,user_258,D,86.933,True,2026-01-11T19:00:00
259,user_259,B,42.698,False,2026-01-28T04:00:00
260,user_260,D,50.104,True,2026-01-12T09:00:00
261,user_261,C,81.994,True,2026-01-12T14:00:00
262,user_262,D,89.284,False,2026-01-26T07:00:00
263,user_263,C,67.487,True,2026-01-17T03:00:00
264,user_264,D,58.029,False,2026-01-16T03:00:00
265,user_265,D,64.52,False,2026-01-01T19:00:00
266,user_266,A,81.955,False,2026-01-04T17:00:00
267,user_267,C,34.709,False,2026-02-05T11:00:00
268,user_268,B,84.22,False,2026-01-22T02:00:00
269,user_269,B,99.115,True,2026-02-01T06:00:00
270,user_270,B,38.88,True,2026-01-10T00:00:00
271,user_271,B,79.756,True,2026-01-10T10:00:00
272,user_272,B,82.365,False,2026-02-11T10:00:00
273,user_273,D,46.929,False,2026-01-04T05:00:00
274,user_274,D,79.473,False,2026-02-02T14:00:00
275,user_275,C,5.498,True,2026-02-10T01:00:00
276,user_276,C,9.993,True,2026-01-19T00:00:00
277,user_277,D,3.642,True,2026-01-25T09:00:00
278,user_278,C,85.952,True,2026-01-21T11:00:00
279,user_279,B,39.553,False,2026-01-31T09:00:00
280,user_280,A,73.395,False,2026-02-02T19:00:00
281,user_281,C,29.588,True,2026-01-02T15:00:00
282,user_282,A,85.645,False,2026-02-10T20:00:00
