id,name,dept,score,active,ts
0,user_0,D,6.994,True,iso
1,user_1,C,41.104,False,iso
2,user_2,C,94.661,False,iso
3,user_3,B,30.907,True,iso
4,user_4,B,48.64,True,iso
5,user_5,A,20.364,False,iso
6,user_6,A,96.883,False,iso
7,user_7,A,66.709,False,iso
8,user_8,A,63.126,True,iso
9,user_9,D,30.475,False,iso
10,user_10,C,59.624,True,iso
11,user_11,D,68.241,True,iso
12,user_12,C,17.765,True,iso
13,user_13,C,83.993,True,iso
14,user_14,D,10.958,False,iso
15,user_15,C,47.343,True,iso
16,user_16,C,37.008,True,iso
17,user_17,C,84.588,False,iso
18,user_18,C,54.529,True,iso
19,user_19,D,0.198,True,iso
20,user_20,B,37.11,True,iso
21,user_21,D,2.26,False,iso
22,user_22,C,37.69,False,iso
23,user_23,A,86.524,True,iso
24,user_24,B,53.124,False,iso
25,user_25,D,81.418,False,iso
26,user_26,C,99.019,True,iso
27,user_27,A,62.608,True,iso
28,user_28,D,39.493,True,iso
29,user_29,C,90.151,True,iso
30,user_30,D,95.649,True,iso
31,user_31,A,56.12,True,iso
32,user_32,A,42.996,False,iso
33,user_33,D,36.829,True,iso
34,user_34,A,21.577,False,iso
35,user_35,C,50.07,True,iso
36,user_36,A,49.241,True,iso
37,user_37,B,84.874,False,iso
38,user_38,B,94.526,True,iso
39,user_39,B,53.001,False,iso
40,user_40,B,69.242,False,iso
41,user_41,A,60.004,True,iso
42,user_42,A,13.326,False,iso
43,user_43,A,96.88,True,iso
44,user_44,A,4.531,True,iso
45,user_45,C,4.131,True,iso
46,user_46,C,7.122,False,iso
47,user_47,C,21.841,True,iso
48,user_48,B,74.074,True,iso
49,user_49,C,64.91,True,iso
50,user_50,D,39.527,False,iso
51,user_51,B,22.284,False,iso
52,user_52,B,36.096,True,iso
53,user_53,D,16.489,True,iso
54,user_54,D,78.897,False,iso
55,user_55,D,36.296,True,iso
56,user_56,B,28.797,True,iso
57,user_57,C,29.979,True,iso
58,user_58,D,49.405,False,iso
59,user_59,C,96.645,False,iso
60,user_60,D,27.516,True,iso
61,user_61,C,87.266,True,iso
62,user_62,C,2.45,True,iso
63,user_63,B,63.768,True,iso
64,user_64,D,12.054,True,iso
65,user_65,A,88.386,True,iso
66,user_66,C,29.345,False,iso
67,user_67,C,59.511,True,iso
68,user_68,D,90.766,True,iso
69,user_69,C,74.154,True,iso
70,user_70,B,11.787,True,iso
71,user_71,B,37.618,False,iso
72,user_72,B,87.322,False,iso
73,user_73,B,72.858,True,iso
74,user_74,C,15.584,False,iso
75,user_75,D,45.367,False,iso
76,user_76,A,38.859,False,iso
77,user_77,D,0.08,True,iso
78,user_78,C,84.487,True,iso
79,user_79,B,43.419,True,iso
80,user_80,C,69.572,True,iso
81,user_81,C,4.954,False,iso
82,user_82,B,46.234,True,iso
83,user_83,B,57.827,False,iso
84,user_84,C,36.148,False,iso
85,user_85,C,11.616,False,iso
86,user_86,C,77.551,False,iso
87,user_87,B,87.257,False,iso
88,user_88,D,11.173,True,iso
89,user_89,B,7.581,False,iso
90,user_90,B,2.262,False,iso
91,user_91,D,37.085,True,iso
92,user_92,B,7.309,True,iso
93,user_93,A,83.028,False,iso
94,user_94,C,84.147,False,iso
95,user_95,C,41.108,True,iso
96,user_96,A,26.973,True,iso
97,user_97,A,71.29,True,iso
98,user_98,B,68.942,False,iso
99,user_99,D,53.474,True,iso
100,user_100,B,65.532,False,iso
101,user_101,D,15.841,True,iso
102,user_102,B,73.185,True,iso
103,user_103,A,87.394,True,iso
104,user_104,D,50.008,False,iso
105,user_105,D,17.2,True,iso
106,user_106,A,40.305,False,iso
107,user_107,A,65.205,True,iso
108,user_108,C,24.203,True,iso
109,user_109,B,98.348,True,iso
110,user_110,C,19.32,True,iso
111,user_111,A,6.576,False,iso
112,user_112,D,99.534,True,iso
113,user_113,B,16.61,True,iso
114,user_114,D,38.629,False,iso
115,user_115,D,11.612,True,iso
116,user_116,C,63.439,True,iso
117,user_117,A,22.455,True,iso
118,user_118,D,28.713,True,iso
119,user_119,A,64.63,False,iso
120,user_120,C,72.578,True,iso
121,user_121,B,94.741,False,iso
122,user_122,D,71.928,False,iso
123,user_123,A,0.513,False,iso
124,user_124,D,2.834,True,iso
125,user_125,A,32.427,False,iso
126,user_126,C,96.052,False,iso
127,user_127,C,74.84,False,iso
128,user_128,D,61.967,False,iso
129,user_129,B,95.856,False,iso
130,user_130,D,57.111,True,iso
131,user_131,C,43.701,False,iso
132,user_132,D,94.024,False,iso
133,user_133,A,3.141,False,iso
134,user_134,D,19.256,True,iso
135,user_135,D,18.563,True,iso
136,user_136,A,84.899,True,iso
137,user_137,B,66.378,True,iso
138,user_138,C,4.686,False,iso
139,user_139,A,12.838,False,iso
140,user_140,C,53.936,True,iso
141,user_141,C,33.418,False,iso
142,user_142,D,32.591,False,iso
143,user_143,D,44.806,True,iso
144,user_144,B,86.177,False,iso
145,user_145,B,59.948,False,iso
146,user_146,B,4.319,False,iso
147,user_147,D,49.924,True,iso
148,user_148,A,30.191,True,iso
149,user_149,B,99.145,False,iso
150,user_150,A,78.037,True,iso
151,user_151,B,15.031,True,iso
152,user_152,D,59.971,True,iso
153,user_153,C,89.15,False,iso
154,user_154,B,77.12,True,iso
155,user_155,D,46.786,False,iso
156,user_156,C,87.621,True,iso
157,user_157,D,19.403,False,iso
158,user_158,A,87.437,False,iso
159,user_159,B,62.656,False,iso
160,user_160,D,58.956,True,iso
161,user_161,D,38.596,False,iso
162,user_162,B,66.319,True,iso
163,user_163,B,10.938,False,iso
164,user_164,B,17.873,False,iso
165,user_165,C,19.554,True,iso
166,user_166,A,61.69,True,iso
167,user_167,D,85.467,True,iso
168,user_168,A,82.388,False,iso
169,user_169,B,99.619,True,iso
170,user_170,B,89.793,True,iso
171,user_171,C,26.249,False,iso
172,user_172,C,20.458,True,iso
173,user_173,C,49.831,False,iso
174,user_174,D,94.67,True,iso
175,user_175,D,15.981,False,iso
176,user_176,A,67.951,True,iso
177,user_177,A,97.181,True,iso
178,user_178,A,97.346,True,iso
179,user_179,C,15.044,False,iso
180,user_180,D,6.934,False,iso
181,user_181,D,82.856,True,iso
182,user_182,C,85.217,True,iso
183,user_183,D,53.677,False,iso
184,user_184,D,0.41,False,iso
185,user_185,A,91.183,False,iso
186,user_186,A,91.84,False,iso
187,user_187,D,61.895,True,iso
188,user_188,A,82.867,True,iso
189,user_189,D,17.087,False,iso
190,user_190,D,66.655,False,iso
191,user_191,D,64.665,False,iso
192,user_192,B,56.686,True,iso
193,user_193,A,64.0,True,iso
194,user_194,C,29.769,False,iso
195,user_195,D,55.726,False,iso
196,user_196,B,20.363,True,iso
197,user_197,D,62.073,True,iso
198,user_198,B,74.697,True,iso
199,user_199,D,32.972,True,iso
200,user_200,A,19.096,True,iso
201,user_201,B,4.336,False,iso
202,user_202,B,43.846,True,iso
203,user_203,A,35.926,True,iso
204,user_204,D,28.846,False,iso
205,user_205,D,61.774,False,iso
206,user_206,A,96.347,True,iso
207,user_207,D,42.018,False,iso
208,user_208,D,5.276,False,iso
209,user_209,B,59.616,False,iso
210,user_210,B,41.441,False,iso
211,user_211,C,73.848,True,iso
212,user_212,C,28.817,False,iso
213,user_213,B,80.211,True,iso
214,user_214,A,20.327,False,iso
215,user_215,D,50.621,False,iso
216,user_216,C,13.446,True,iso
217,user_217,A,74.364,True,iso
218,user_218,D,33.46,True,iso
219,user_219,C,95.708,True,iso
220,user_220,A,19.409,False,iso
221,user_221,C,66.727,False,iso
222,user_222,C,17.298,True,iso
223,user_223,A,26.67,False,iso
224,user_224,D,30.01,True,iso
225,user_225,C,75.942,False,iso
226,user_226,B,73.687,True,iso
227,user_227,A,68.349,False,iso
228,user_228,A,79.895,True,iso
