txn_id,txn_date,store,category,quantity,unit_price
1,2026-03-04,Downtown,Grocery,5,83.89
2,2026-02-22,Downtown,Home,2,182.62
3,2026-02-20,Downtown,Home,2,82.42
4,2026-01-19,Downtown,Apparel,5,15.97
5,2026-03-27,Mall,Apparel,1,164.89
6,2026-03-15,Suburb,Apparel,3,14.66
7,2026-03-08,Mall,Electronics,3,107.03
8,2026-03-11,Suburb,Home,1,36.26
9,2026-01-19,Mall,Apparel,7,101.08
10,2026-03-11,Suburb,Grocery,6,63.99
11,2026-01-06,Mall,Grocery,4,184.01
12,2026-02-15,Airport,Home,2,45.68
13,2026-01-07,Downtown,Grocery,6,126.0
14,2026-01-29,Suburb,Home,1,21.32
15,2026-01-18,Suburb,Apparel,1,54.21
16,2026-01-12,Mall,Apparel,2,48.71
17,2026-03-11,Mall,Apparel,3,31.06
18,2026-01-09,Airport,Electronics,6,139.17
19,2026-01-11,Mall,Apparel,5,13.66
20,2026-01-24,Mall,Grocery,1,192.93
21,2026-01-13,Downtown,Electronics,2,186.64
22,2026-01-15,Mall,Apparel,2,182.62
23,2026-03-29,Airport,Home,3,132.58
24,2026-01-30,Suburb,Grocery,1,121.21
25,2026-03-30,Airport,Electronics,7,81.65
26,2026-03-25,Suburb,Apparel,4,29.32
27,2026-02-09,Suburb,Apparel,4,87.42
28,2026-03-06,Suburb,Grocery,6,32.84
29,2026-02-10,Suburb,Electronics,2,44.54
30,2026-03-16,Downtown,Grocery,1,29.6
31,2026-01-06,Suburb,Apparel,3,117.96
32,2026-01-14,Downtown,Home,3,87.78
33,2026-03-03,Mall,Apparel,2,120.09
34,2026-02-17,Mall,Grocery,2,53.5
35,2026-03-04,Suburb,Grocery,1,80.92
36,2026-03-28,Suburb,Electronics,4,130.87
37,2026-01-05,Airport,Apparel,4,141.98
38,2026-01-22,Airport,Home,1,71.14
39,2026-03-12,Suburb,Electronics,7,193.19
40,2026-01-14,Suburb,Grocery,5,54.23
41,2026-03-26,Airport,Electronics,5,47.57
42,2026-02-20,Airport,Grocery,4,174.99
43,2026-03-13,Suburb,Electronics,3,60.08
44,2026-01-24,Airport,Electronics,5,63.09
45,2026-03-02,Mall,Apparel,4,52.64
46,2026-03-08,Airport,Home,7,107.16
47,2026-03-15,Mall,Home,7,
48,2026-03-01,Airport,Home,7,70.13
49,2026-02-04,Mall,Electronics,1,
50,2026-03-18,Mall,Apparel,6,20.14
51,2026-03-12,Airport,Home,3,14.53
52,2026-02-25,Suburb,Grocery,3,94.18
53,2026-02-25,Downtown,Electronics,4,60.37
54,2026-03-15,Mall,Home,7,174.64
55,2026-01-14,Mall,Grocery,4,61.47
56,2026-02-20,Suburb,Electronics,6,159.32
57,2026-03-06,Mall,Home,5,116.77
58,2026-01-18,Suburb,Grocery,5,169.97
59,2026-02-10,Downtown,Electronics,2,119.26
60,2026-03-06,Mall,Apparel,1,127.95
61,2026-03-05,Downtown,Grocery,5,122.69
62,2026-03-20,Suburb,Grocery,1,158.68
63,2026-02-18,Downtown,Grocery,6,102.46
64,2026-03-17,Downtown,Grocery,1,167.84
65,2026-02-12,Mall,Home,6,163.79
66,2026-01-16,Downtown,Home,5,129.09
67,2026-03-02,Mall,Apparel,7,137.09
68,2026-01-12,Airport,Apparel,2,157.39
69,2026-01-27,Airport,Apparel,6,77.04
70,2026-03-14,Downtown,Home,7,178.43
71,2026-01-19,Downtown,Apparel,5,145.52
72,2026-01-20,Airport,Electronics,4,177.01
73,2026-02-28,Downtown,Electronics,2,
74,2026-03-28,Mall,Home,6,130.86
75,2026-03-05,Airport,Grocery,1,99.45
76,2026-01-13,Airport,Electronics,3,45.42
77,2026-02-14,Downtown,Electronics,1,166.71
78,2026-02-19,Downtown,Home,1,50.42
79,2026-02-23,Mall,,2,59.73
80,2026-01-31,Airport,Electronics,7,107.98
81,2026-03-30,Downtown,Home,4,176.75
82,2026-02-19,Mall,Electronics,2,124.22
83,2026-03-12,Mall,Electronics,7,190.85
84,2026-02-01,Mall,Apparel,1,98.12
85,2026-03-17,Mall,,5,
86,2026-03-27,Airport,Home,6,64.47
87,2026-02-05,Suburb,Grocery,1,173.49
88,2026-01-05,Mall,Grocery,5,181.38
89,2026-02-08,Suburb,Home,6,
90,2026-01-17,Airport,Home,3,116.02
91,2026-01-07,Mall,Home,2,106.67
92,2026-03-29,Mall,Home,3,59.39
93,2026-02-12,Suburb,Grocery,6,146.12
94,2026-01-27,Airport,Apparel,7,142.13
95,2026-03-18,Mall,Grocery,2,156.2
96,2026-03-15,Downtown,Apparel,1,57.7
97,2026-01-03,Airport,Apparel,6,174.36
98,2026-02-17,Airport,Home,1,89.75
99,2026-02-09,Suburb,Home,1,
100,2026-01-31,Mall,Apparel,2,43.02
101,2026-01-08,Downtown,Grocery,6,178.07
102,2026-03-27,Mall,Electronics,4,73.17
103,2026-03-07,Suburb,Apparel,2,81.03
104,2026-01-01,Airport,Grocery,3,14.31
105,2026-01-20,Mall,Electronics,3,10.15
106,2026-03-18,Downtown,Home,7,
107,2026-02-06,Downtown,Grocery,5,72.92
108,2026-02-10,Mall,Grocery,1,114.77
109,2026-03-23,Airport,Home,3,182.35
110,2026-01-25,Suburb,Electronics,2,199.86
111,2026-01-01,Suburb,Apparel,6,83.64
